,Code,Country,Total Cases,Total Deaths
132,MYS,Malaysia,26565.0,229.0
133,MDV,Maldives,11505.0,37.0
134,MLI,Mali,3490.0,133.0
135,MLT,Malta,5373.0,50.0
136,MHL,Marshall Islands,0,0
137,MTQ,Martinique,0,0
138,MRT,Mauritania,7662.0,163.0
139,MUS,Mauritius,435.0,10.0
140,MYT,Mayotte,0,0
141,MEX,Mexico,891160.0,88924.0
142,FSM,"Micronesia, Federated States of",0,0
143,MDA,"Moldova, Republic of",71503.0,1685.0
144,MCO,Monaco,306.0,1.0
145,MNG,Mongolia,339.0,0.0
146,MNE,Montenegro,16797.0,266.0
147,MSR,Montserrat,13.0,1.0
148,MAR,Morocco,197481.0,3301.0
149,MOZ,Mozambique,11986.0,86.0
150,MMR,Myanmar,44774.0,1095.0
151,NAM,Namibia,12660.0,133.0
152,NRU,Nauru,0,0
153,NPL,Nepal,158089.0,847.0
154,NLD,Netherlands,290925.0,7036.0
155,ANT,Netherlands Antilles,0,0
156,NCL,New Caledonia,27.0,0.0
157,NZL,New Zealand,1584.0,25.0
158,NIC,Nicaragua,5434.0,155.0
159,NER,Niger,1215.0,69.0
160,NGA,Nigeria,61992.0,1130.0
161,NIU,Niue,0,0
162,NFK,Norfolk Island,0,0
163,MNP,Northern Mariana Islands,92.0,2.0
164,NOR,Norway,17232.0,279.0
165,OMN,Oman,112932.0,1174.0
166,PAK,Pakistan,328602.0,6739.0
167,PLW,Palau,0,0
168,PSE,"Palestinian Territory, Occupied",62046.0,518.0
169,PAN,Panama,129200.0,2633.0
170,PNG,Papua New Guinea,588.0,7.0
171,PRY,Paraguay,59594.0,1309.0
172,PER,Peru,888715.0,34149.0
173,PHL,Philippines,370028.0,6977.0
174,PCN,Pitcairn,0,0
175,POL,Poland,253688.0,4438.0
176,PRT,Portugal,118686.0,2316.0
177,PRI,Puerto Rico,62503.0,801.0
178,QAT,Qatar,131170.0,230.0
179,REU,Reunion,0,0
180,ROU,Romania,209648.0,6391.0
181,RUS,Russia,1513877.0,26050.0
182,RWA,Rwanda,5066.0,34.0
183,BLM,Saint Barthélemy,0,0
184,SHN,"Saint Helena, Ascension and Tristan da Cunha",0,0
185,KNA,Saint Kitts and Nevis,19.0,0.0
