,iso_code,location,total_cases,total_deaths
0,AUS,Australia,27520.0,905.0
1,FJI,Fiji,33.0,2.0
2,GUM,Guam,4216.0,72.0
3,MNP,Northern Mariana Islands,92.0,2.0
4,NCL,New Caledonia,27.0,0.0
5,NZL,New Zealand,1584.0,25.0
6,PNG,Papua New Guinea,588.0,7.0
7,PYF,French Polynesia,5797.0,20.0
8,SLB,Solomon Islands,4.0,0.0
9,WLF,Wallis and Futuna,1.0,0.0
